player,best_etv_match,cosine_similarity,Player Name,ETV
aaron ramsdale,aaron ramsdale,1.0,Aaron Ramsdale,€18.7M
aaron wan-bissaka,aaron wan-bissaka,1.0,Aaron Wan-Bissaka,€26.9M
abdoulaye doucouré,abdoulaye doucouré,1.0000002,Abdoulaye Doucouré,€5.8M
adam armstrong,tyler adams,0.6439651,Adam Armstrong,€24.4M
adam smith,adam smith,1.0,Adam Smith,€1.5M
adam wharton,adam wharton,1.0000001,Adam Wharton,€48.9M
adama traoré,adama traoré,1.0,Adama Traoré,€8M
alejandro garnacho,alejandro garnacho,1.0,Alejandro Garnacho,€60.7M
alex iwobi,alex iwobi,0.9999999,Alex Iwobi,€30.3M
alex palmer,alex palmer,1.0000001,Alex Palmer,€1.6M
alexander isak,alexander isak,0.9999999,Alexander Isak,€120.3M
alexis mac allister,alexis mac allister,1.0000002,Alexis Mac Allister,€106.1M
alisson,alisson,0.99999994,Alisson,€24.1M
alphonse areola,alphonse aréola,0.9999999,Alphonse Areola,€11.8M
amad diallo,amad diallo,1.0000001,Amad Diallo,€48.5M
amadou onana,amadou onana,1.0,Amadou Onana,€62.1M
andreas pereira,andreas pereira,1.0000001,Andreas Pereira,€19M
andrew robertson,andrew robertson,0.99999994,Andrew Robertson,€24M
andré,andré,1.0,André,€29.8M
andré onana,andré onana,0.99999994,André Onana,€34.2M
anthony elanga,anthony elanga,1.0000001,Anthony Elanga,€45.5M
anthony gordon,anthony gordon,0.9999998,Anthony Gordon,€49.5M
antoine semenyo,antoine semenyo,0.9999999,Antoine Semenyo,€47.7M
antonee robinson,antonee robinson,1.0000002,Antonee Robinson,€46.4M
archie gray,archie gray,1.0,Archie Gray,€58.2M
arijanet muric,arijanet murić,0.99999994,Arijanet Muric,€10.1M
ashley young,ashley young,1.0000001,Ashley Young,€1.3M
axel tuanzebe,axel tuanzebe,1.0000001,Axel Tuanzebe,€4.2M
bart verbruggen,bart verbruggen,0.99999976,Bart Verbruggen,€30.7M
ben davies,ben davies,1.0000001,Ben Davies,€5.6M
ben johnson,ben johnson,1.0,Ben Johnson,€12.6M
ben white,ben white,1.0,Ben White,€58.8M
bernardo silva,bernardo silva,1.0000001,Bernardo Silva,€50M
bernd leno,bernd leno,1.0000001,Bernd Leno,€13.7M
beto,beto,0.9999999,Beto,€24.4M
bilal el khannouss,bilal el khannouss,1.0000001,Bilal El Khannouss,€40.6M
boubacar kamara,boubacar kamara,1.0,Boubacar Kamara,€46.3M
boubakary soumaré,boubakary soumaré,1.0000001,Boubakary Soumaré,€15.4M
brennan johnson,brennan johnson,1.0000002,Brennan Johnson,€71.3M
bruno fernandes,bruno fernandes,1.0000002,Bruno Fernandes,€54.8M
bruno guimarães,bruno guimarães,1.0,Bruno Guimarães,€83.2M
bryan mbeumo,bryan mbeumo,0.99999994,Bryan Mbeumo,€57.2M
bukayo saka,bukayo saka,1.0,Bukayo Saka,€101.3M
caleb okoli,caleb okoli,1.0000002,Caleb Okoli,€16.7M
callum hudson-odoi,callum hudson-odoi,1.0000001,Callum Hudson-Odoi,€30.2M
calvin bassey,calvin bassey,1.0000002,Calvin Bassey,€29.9M
cameron archer,cameron archer,1.0,Cameron Archer,€18.6M
cameron burgess,cameron burgess,1.0000001,Cameron Burgess,€1.7M
carlos baleba,carlos baleba,0.9999999,Carlos Baleba,€52.4M
carlos soler,carlos soler,1.0000001,Carlos Soler,€23.4M
casemiro,casemiro,1.0000001,Casemiro,€11.6M
chris richards,chris richards,1.0,Chris Richards,€15.7M
chris wood,chris wood,1.0,Chris Wood,€7.8M
christian eriksen,christian eriksen,1.0000001,Christian Eriksen,€4.2M
christian nørgaard,christian nørgaard,1.0000002,Christian Nørgaard,€14.4M
christopher nkunku,christopher nkunku,1.0000002,Christopher Nkunku,€51.7M
cody gakpo,cody gakpo,1.0000001,Cody Gakpo,€67.5M
cole palmer,cole palmer,1.0000002,Cole Palmer,€115.4M
conor coady,conor coady,0.9999999,Conor Coady,€2.2M
