Player Name,ETV
Erling Haaland,€198.8M
Martin Ødegaard,€126.5M
Alexander Isak,€120.3M
Cole Palmer,€115.4M
Declan Rice,€107.8M
Alexis Mac Allister,€106.1M
Phil Foden,€105.7M
Bukayo Saka,€101.3M
Rodri,€87M
Ryan Gravenberch,€85.3M
Bruno Guimarães,€83.2M
Moisés Caicedo,€80.7M
William Saliba,€79.5M
Omar Marmoush,€79.1M
Joško Gvardiol,€78.7M
Gabriel Magalhães,€75.5M
Sávio,€74.8M
Ethan Nwaneri,€74.3M
Enzo Fernández,€73.7M
Dominik Szoboszlai,€71.4M
Brennan Johnson,€71.3M
Lucas Paquetá,€71.2M
Leny Yoro,€71M
Luis Díaz,€71M
Kai Havertz,€70.5M
Morgan Rogers,€69M
Murillo,€68.4M
Cody Gakpo,€67.5M
Nicolas Jackson,€66.2M
Jérémy Doku,€66.2M
Kobbie Mainoo,€66M
Jurrien Timber,€65.5M
Rico Lewis,€62.7M
Matheus Cunha,€62.6M
Gabriel Martinelli,€62.6M
Eberechi Eze,€62.2M
Amadou Onana,€62.1M
Micky van de Ven,€61.8M
Mohammed Kudus,€61.7M
Morgan Gibbs-White,€61.7M
Curtis Jones,€61.7M
Miloš Kerkez,€61.5M
Ollie Watkins,€61.4M
João Pedro,€61.3M
Darwin Núñez,€60.9M
Alejandro Garnacho,€60.7M
Pedro Neto,€60.6M
Dejan Kulusevski,€60.5M
Manuel Ugarte,€60.4M
Cristian Romero,€60.1M
Destiny Udogie,€59.4M
Ben White,€58.8M
Illia Zabarnyi,€58.8M
Diogo Jota,€58.6M
Rúben Dias,€58.5M
Archie Gray,€58.2M
James Maddison,€58.1M
Ibrahima Konaté,€57.2M
Bryan Mbeumo,€57.2M
Levi Colwill,€56.6M
Mathys Tel,€56.4M
Pedro Porro,€55.9M
Trent Alexander-Arnold,€55.8M
Dean Huijsen,€55M
Rasmus Winther Højlund,€54.9M
Bruno Fernandes,€54.8M
Roméo Lavia,€54.6M
Marc Guéhi,€54.2M
Marcus Rashford,€53.6M
Sandro Tonali,€52.9M
Sven Botman,€52.7M
Carlos Baleba,€52.4M
Matthijs de Ligt,€52.2M
Dominic Solanke,€52.1M
Christopher Nkunku,€51.7M
Noni Madueke,€51.6M
João Gomes,€51.1M
Pape Matar Sarr,€50.8M
Kaoru Mitoma,€50.6M
Bernardo Silva,€50M
Anthony Gordon,€49.5M
Valentino Livramento,€49.3M
Riccardo Calafiori,€49.3M
Lisandro Martínez,€49.2M
Adam Wharton,€48.9M
Evan Ferguson,€48.5M
Harvey Elliott,€48.5M
Amad Diallo,€48.5M
Nico González,€48.4M
Abdukodir Khusanov,€48.4M
Jarrod Bowen,€48.1M
Antoine Semenyo,€47.7M
Joelinton,€47.5M
Elliot Anderson,€46.5M
Antonee Robinson,€46.4M
Boubacar Kamara,€46.3M
Jacob Ramsey,€45.8M
Gabriel Jesus,€45.6M
Anthony Elanga,€45.5M
Pau Torres,€45.3M
Rayan Aït Nouri,€45M
Justin Kluivert,€44.8M
Joshua Zirkzee,€43.7M
Jack Grealish,€43.5M
Noussair Mazraoui,€43M
Manuel Akanji,€42.8M
Ezri Konsa,€42.7M
Yankuba Minteh,€42.6M
Jan Paul van Hecke,€42.4M
Matheus Nunes,€42.3M
Guglielmo Vicario,€41.6M
Youri Tielemans,€41.5M
Harvey Barnes,€41.5M
Vitor Reis,€41.4M
Georginio Rutter,€41.3M
Emile Smith Rowe,€40.8M
Ian Maatsen,€40.6M
Bilal El Khannouss,€40.6M
Mikel Merino,€40.5M
Marc Cucurella,€39.4M
Leon Bailey,€39.2M
Mohamed Salah,€38.5M
Nikola Milenković,€38M
Mykhaylo Mudryk,€37.8M
Jadon Sancho,€37.7M
Diogo Dalot,€37.4M
Ferdi Kadıoğlu,€37.4M
Reece James,€37.3M
Cheick Doucouré,€37.2M
Pervis Estupiñán,€37.1M
Liam Delap,€37M
Danilo,€36.9M
Max Kilman,€36.7M
Edson Álvarez,€36.5M
Nathan Aké,€36.4M
Jean-Clair Todibo,€36M
Joe Willock,€35.8M
Mason Mount,€35.5M
Myles Lewis-Skelly,€34.9M
Ibrahim Sangaré,€34.6M
Lewis Hall,€34.5M
André Onana,€34.2M
Simon Adingra,€34M
Vitaliy Mykolenko,€33.5M
Nathan Collins,€33.3M
Matty Cash,€32.9M
Malo Gusto,€32.8M
Tyler Dibling,€32.7M
Lucas Bergvall,€32.6M
Jarrad Branthwaite,€32.2M
Leandro Trossard,€31.8M
Jean-Philippe Mateta,€31.7M
Rodrigo Bentancur,€31.5M
Patrick Dorgu,€31.5M
Joachim Andersen,€31.4M
Yoane Wissa,€31.4M
Daniel Muñoz,€30.9M
Jørgen Strand Larsen,€30.8M
Facundo Buonanotte,€30.7M
Heung-min Son,€30.7M
Bart Verbruggen,€30.7M
Wesley Fofana,€30.3M
Alex Iwobi,€30.3M
Callum Hudson-Odoi,€30.2M
Calvin Bassey,€29.9M
Taylor Harwood-Bellis,€29.9M
André,€29.8M
Yves Bissouma,€29.8M
Kevin Schade,€29.7M
John Stones,€29.7M
Brajan Gruda,€29.4M
David Raya,€28.9M
Mikkel Damsgaard,€28.6M
Benoît Badiashile,€28.5M
Lewis Miley,€28.5M
Dango Ouattara,€28.5M
Radu Drăguşin,€28.4M
Leif Davis,€28.2M
Conor Bradley,€27.9M
Oscar Bobb,€27.9M
Sander Berge,€27.8M
Maxence Lacroix,€27.7M
Alex Scott,€27.6M
Axel Disasi,€27.5M
O. Hutchinson,€27.4M
Kevin Danso,€27.2M
Keane Lewis-Potter,€27.1M
Vitaly Janelt,€27.1M
Lesley Ugochukwu,€27M
Dwight McNeil,€27M
Evanilson,€26.9M
Aaron Wan-Bissaka,€26.9M
Richarlison,€26.7M
Luis Guilherme,€26.6M
Sepp van den Berg,€26.4M
Jarell Quansah,€26.2M
Crysencio Summerville,€25.9M
Igor Thiago,€25.9M
Filip Jørgensen,€25.9M
Iliman Ndiaye,€25.7M
Ismaïla Sarr,€25.7M
Matt O'Riley,€25.6M
Joe Gomez,€25.3M
Mateo Kovačić,€25.3M
Wilson Odobert,€25.1M
Jacob Greaves,€25.1M
Igor Júlio,€25M
Wout Faes,€25M
Michael Kayode,€25M
Jakub Kiwior,€25M
Aaron Hickey,€24.9M
Robert Sánchez,€24.9M
Kiernan Dewsbury-Hall,€24.9M
Julio Enciso,€24.9M
Edward Nketiah,€24.8M
Tyrick Mitchell,€24.6M
Claudio Echeverri,€24.4M
Jesper Lindstrøm,€24.4M
Marcus Tavernier,€24.4M
Tyler Adams,€24.4M
Beto,€24.4M
Orel Mangala,€24.4M
Tosin Adarabioyo,€24.3M
Virgil van Dijk,€24.3M
Alisson,€24.1M
Andrew Robertson,€24M
Victor Kristiansen,€23.9M
Mikey Moore,€23.7M
Konstantinos Tsimikas,€23.6M
Carlos Soler,€23.4M
Neco Williams,€23.4M
Tomáš Souček,€23.2M
James Garner,€23.2M
Takehiro Tomiyasu,€22.9M
Dean Henderson,€22.7M
Jordan Pickford,€22.6M
Mateus Fernandes,€22.5M
John McGinn,€22.5M
J. Philogene,€22.3M
Abdul Fatawu Issahaku,€21.9M
Kristoffer Ajer,€21.5M
Donyell Malen,€21.4M
Yasin Ayari,€21.4M
Chadi Riad,€21.4M
Reiss Nelson,€21.3M
Jean-Ricner Bellegarde,€21.3M
Sean Longstaff,€21.3M
Federico Chiesa,€21.2M
Caoimhin Kelleher,€20.9M
Fabio Carvalho,€20.6M
Marcos Senesi,€20.4M
Ben Chilwell,€20.4M
